Reference, Quantity, Value, Footprint,MPN,"Price (1, no bulk adj)","Price (total, no bulk adj)",Link,,,,,
FB1 FB2 FB3 FB4 ,4,FERRITE,Diodes_SMD:D_0603,BKP1608HS600 ,0.1,0.4,http://www.digikey.com/product-detail/en/taiyo-yuden/BKP1608HS600-T/587-1928-1-ND/1465398,,,,,
GT1 ,1,GNDTIE,DFTcustom:gndtie,Footprint only,0,0,,,,,,
IC2 ,1,IS31FL3199,DFTcustom:QFN-20-3MM,IS31FL3199,0.65,0.65,http://www.digikey.com/product-detail/en/issi-integrated-silicon-solution-inc/IS31FL3199-QFLS2-TR/706-1216-2-ND/4286470,,,,,
IC3 ,1,CyUSB30xx-BZX,DFTcustom:BGA121_08mm,CYUSB3014-BZXC ,28.51,28.51,http://www.digikey.com/product-detail/en/cypress-semiconductor-corp/CYUSB3014-BZXC/428-3182-ND/3679585,,,,,
J1 J2 J3 J4 ,4,AUDIO JACK,DFTcustom:RA49C12B,RA49C12B,2.65,10.6,http://www.digikey.com/products/en?keywords=RA49C12B,,,,,
J5 J8 ,2,GSB3211311WEU,GSB3211311WEU:AMPHENOL_GSB3211311WEU,GSB3211311WEU,2.39,4.78,http://www.digikey.com/products/en?keywords=GSB3211311WEU,,,,,
J6 ,1,AU-Y1008-2,DFTcustom:AU-Y1008-2,AU-Y1008-2 ,1.07,1.07,http://www.digikey.com/product-detail/en/assmann-wsw-components/AU-Y1008-2/AE11131-ND/5147142,,,,,
J7 ,1,10029449-111RLF,DFTcustom:10029449-111RLF,10029449-111RLF,0.74,0.74,http://www.digikey.com/product-detail/en/amphenol-fci/10029449-111RLF/609-4614-1-ND/2785376,,,,,
JP1 ,1,Jumper_NO_Small,DFTcustom:JUMPER_2PIN,Footprint only,0,0,,,,,,
JP2 ,1,POWERJUMPER,DFTcustom:JUMPER_2PIN,Footprint only,0,0,,,,,,
